A0120000000001B10007936519710202測試乙      1新北市範例區測試街2號                                                                                                   02-0001-0003   R191979364B20190606202410102
B0230000000002C20015855119720303範例丙      2桃園市和平區和平路3號                                                                                                   02-0002-0006   S292058554C20200707202411113
A0340000000003D10023774319730404範例丁      1台中市幸福區幸福街4號                                                                                                   02-0003-0009   T192137746D20180808         
B0450000000004E20031693919740505虛構戊      2台南市文化區文化路5號                                                                                                   02-0004-0012   U292216932A20190909202401131
A0560000000005F80039612719750606虛構己      1高雄市中央區中央街6號                                                                                                   02-0005-0015   V192296126B20201010202402142
B0610000000006G20047531919760707測試甲      2台北市測試區範例路7號                                                                                                   02-0006-0018   W292375313C20181111         
A0720000000007H10055450119770808測試乙      1新北市範例區測試街8號                                                                                                   02-0007-0021   X192454502D20191212202404164
B0830000000008I20063369319780909範例丙      2桃園市和平區和平路9號                                                                                                   02-0008-0024   Y292533690A20200113202405171
A0940000000009J10071288019791010範例丁      1台中市幸福區幸福街10號                                                                                                  02-0009-0027   Z192612883B20180214         
B1050000000010K90079207219801111虛構戊      2台南市文化區文化路11號                                                                                                  02-0010-0030   A292692079C20190315202407193
A1160000000011L10087126919811212虛構己      1高雄市中央區中央街12號                                                                                                  02-0011-0033   B192771261D20200416202408204
B1210000000012M20095045519820113測試甲      2台北市測試區範例路13號                                                                                                  02-0012-0036   C292850457A20180517         
A1320000000013N10102964519830214測試乙      1新北市範例區測試街14號                                                                                                  02-0013-0039   D192929643B20190618202410222
B1430000000014O20110883219840315範例丙      2桃園市和平區和平路15號                                                                                                  02-0014-0042   E293008833C20200719202411233
A1540000000015P80118802819850416範例丁      1台中市幸福區幸福街16號                                                                                                  02-0015-0045   F193088027D20180820         
B1650000000016Q20126721019860517虛構戊      2台南市文化區文化路17號                                                                                                  02-0016-0048   G293167213A20190921202401251
A1760000000017R10134640219870618虛構己      1高雄市中央區中央街18號                                                                                                  02-0017-0051   H193246405B20201022202402262
B1810000000018S20142559019880719測試甲      2台北市測試區範例路19號                                                                                                  02-0018-0054   I293325597C20181123         
A1920000000019T10150478219890820測試乙      1新北市範例區測試街20號                                                                                                  02-0019-0057   J193404784D20191224202404284
B2030000000020U90158397719900921範例丙      2桃園市和平區和平路21號                                                                                                  02-0020-0060   K293483975A20200125202405011
A2140000000021V10166316219911022範例丁      1台中市幸福區幸福街22號                                                                                                  02-0021-0063   L193563163B20180226         
B2250000000022W20174235919921123虛構戊      2台南市文化區文化路23號                                                                                                  02-0022-0066   M293642359C20190327202407033
A2360000000023X10182154819931224虛構己      1高雄市中央區中央街24號                                                                                                  02-0023-0069   N193721541D20200428202408044
B2410000000024Y20190073419940125測試甲      2台北市測試區範例路25號                                                                                                  02-0024-0072   O293800738A20180501         
A2520000000025Z80197992019950226測試乙      1新北市範例區測試街26號                                                                                                  02-0025-0075   P193879927B20190602202410062
B2630000000026A20205911119960327範例丙      2桃園市和平區和平路27號                                                                                                  02-0026-0078   Q293959110C20200703202411073
A2740000000027B10213830319970428範例丁      1台中市幸福區幸福街28號                                                                                                  02-0027-0081   R194038306D20180804         
B2850000000028C20221749119980501虛構戊      2台南市文化區文化路29號                                                                                                  02-0028-0084   S294117494A20190905202401091
A2960000000029D10229668819990602虛構己      1高雄市中央區中央街30號                                                                                                  02-0029-0087   T194196681B20201006202402102
B3010000000030E90237587819700703測試甲      2台北市測試區範例路31號                                                                                                  02-0030-0090   U294275877C20181107         
A3120000000031F10245506319710804測試乙      1新北市範例區測試街32號                                                                                                  02-0031-0093   V194355066D20191208202404124
B3230000000032G20253425919720905範例丙      2桃園市和平區和平路33號                                                                                                  02-0032-0096   W294434253A20200109202405131
A3340000000033H10261344119731006範例丁      1台中市幸福區幸福街34號                                                                                                  02-0033-0099   X194513442B20180210         
B3450000000034I20269263619741107虛構戊      2台南市文化區文化路35號                                                                                                  02-0034-0102   Y294592633C20190311202407153
A3560000000035J80277182719751208虛構己      1高雄市中央區中央街36號                                                                                                  02-0035-0105   Z194671826D20200412202408164
B3610000000036K20285101619760109測試甲      2台北市測試區範例路37號                                                                                                  02-0036-0108   A294751017A20180513         
A3720000000037L10293020719770210測試乙      1新北市範例區測試街38號                                                                                                  02-0037-0111   B194830209B20190614202410182
B3830000000038M20300939319780311範例丙      2桃園市和平區和平路39號                                                                                                  02-0038-0114   C294909391C20200715202411193
A3940000000039N10308858019790412範例丁      1台中市幸福區幸福街40號                                                                                                  02-0039-0117   D194988588D20180816         
B4050000000040O90316777119800513虛構戊      2台南市文化區文化路41號                                                                                                  02-0040-0120   E295067778A20190917202401211
A4160000000041P10324696719810614虛構己      1高雄市中央區中央街42號                                                                                                  02-0041-0123   F195146960B20201018202402222
B4210000000042Q20332615019820715測試甲      2台北市測試區範例路43號                                                                                                  02-0042-0126   G295226153C20181119         
A4320000000043R10340534219830816測試乙      1新北市範例區測試街44號                                                                                                  02-0043-0129   H195305345D20191220202404244
B4430000000044S20348453319840917範例丙      2桃園市和平區和平路45號                                                                                                  02-0044-0132   I295384530A20200121202405251
A4540000000045T80356372919851018範例丁      1台中市幸福區幸福街46號                                                                                                  02-0045-0135   J195463727B20180222         
B4650000000046U20364291119861119虛構戊      2台南市文化區文化路47號                                                                                                  02-0046-0138   K295542913C20190323202407273
A4760000000047V10372210019871220虛構己      1高雄市中央區中央街48號                                                                                                  02-0047-0141   L195622101D20200424202408284
B4810000000048W20380129919880121測試甲      2台北市測試區範例路49號                                                                                                  02-0048-0144   M295701299A20180525         
A4920000000049X10388048319890222測試乙      1新北市範例區測試街50號                                                                                                  02-0049-0147   N195780486B20190626202410022
B5030000000050Y90395967719900323範例丙      2桃園市和平區和平路51號                                                                                                  02-0050-0150   O295859677C20200727202411033
A5140000000051Z10403886019910424範例丁      1台中市幸福區幸福街52號                                                                                                  02-0051-0153   P195938867D20180828         
B5250000000052A20411805119920525虛構戊      2台南市文化區文化路53號                                                                                                  02-0052-0156   Q296018054A20190901202401051
A5360000000053B10419724819930626虛構己      1高雄市中央區中央街54號                                                                                                  02-0053-0159   R196097241B20201002202402062
B5410000000054C20427643419940727測試甲      2台北市測試區範例路55號                                                                                                  02-0054-0162   S296176437C20181103         
A5520000000055D80435562019950828測試乙      1新北市範例區測試街56號                                                                                                  02-0055-0165   T196255629D20191204202404084
B5630000000056E20443481219960901範例丙      2桃園市和平區和平路57號                                                                                                  02-0056-0168   U296334815A20200105202405091
A5740000000057F10451400119971002範例丁      1台中市幸福區幸福街58號                                                                                                  02-0057-0171   V196414004B20180206         
B5850000000058G20459319419981103虛構戊      2台南市文化區文化路59號                                                                                                  02-0058-0174   W296493198C20190307202407113
A5960000000059H10467238619991204虛構己      1高雄市中央區中央街60號                                                                                                  02-0059-0177   X196572387D20200408202408124
B6010000000060I90475157019700105測試甲      2台北市測試區範例路61號                                                                                                  02-0060-0180   Y296651573A20180509         
A6120000000061J10483076319710206測試乙      1新北市範例區測試街62號                                                                                                  02-0061-0183   Z196730766B20190610202410142
B6230000000062K20490995319720307範例丙      2桃園市和平區和平路63號                                                                                                  02-0062-0186   A296809954C20200711202411153
A6340000000063L10498914619730408範例丁      1台中市幸福區幸福街64號                                                                                                  02-0063-0189   B196889148D20180812         
B6450000000064M20506833619740509虛構戊      2台南市文化區文化路65號                                                                                                  02-0064-0192   C296968334A20190913202401171
A6560000000065N80514752219750610虛構己      1高雄市中央區中央街66號                                                                                                  02-0065-0195   D197047520B20201014202402182
B6610000000066O20522671519760711測試甲      2台北市測試區範例路67號                                                                                                  02-0066-0198   E297126716C20181115         
A6720000000067P10530590519770812測試乙      1新北市範例區測試街68號                                                                                                  02-0067-0201   F197205908D20191216202404204
B6830000000068Q20538509519780913範例丙      2桃園市和平區和平路69號                                                                                                  02-0068-0204   G297285098A20200117202405211
A6940000000069R10546428719791014範例丁      1台中市幸福區幸福街70號                                                                                                  02-0069-0207   H197364280B20180218         
B7050000000070S90554347719801115虛構戊      2台南市文化區文化路71號                                                                                                  02-0070-0210   I297443470C20190319202407233
A7160000000071T10562266519811216虛構己      1高雄市中央區中央街72號                                                                                                  02-0071-0213   J197522667D20200420202408244
B7210000000072U20570185119820117測試甲      2台北市測試區範例路73號                                                                                                  02-0072-0216   K297601853A20180521         
A7320000000073V10578104519830218測試乙      1新北市範例區測試街74號                                                                                                  02-0073-0219   L197681046B20190622202410262
B7430000000074W20586023219840319範例丙      2桃園市和平區和平路75號                                                                                                  02-0074-0222   M297760232C20200723202411273
A7540000000075X80593942919850420範例丁      1台中市幸福區幸福街76號                                                                                                  02-0075-0225   N197839428D20180824         
