A0120000000001B10007936519710202測試乙      1新北市範例區測試街2號                                                                                                   02-0001-0003   R191979364B20190606202410102
B0230000000002C20015855119720303範例丙      2桃園市和平區和平路3號                                                                                                   02-0002-0006   S292058554C20200707202411113
A0340000000003D10023774319730404範例丁      1台中市幸福區幸福街4號                                                                                                   02-0003-0009   T192137746D20180808         
B0450000000004E20031693919740505虛構戊      2台南市文化區文化路5號                                                                                                   02-0004-0012   U292216932A20190909202401131
A0560000000005F80039612719750606虛構己      1高雄市中央區中央街6號                                                                                                   02-0005-0015   V192296126B20201010202402142
B0610000000006G20047531919760707測試甲      2台北市測試區範例路7號                                                                                                   02-0006-0018   W292375313C20181111         
A0720000000007H10055450119770808測試乙      1新北市範例區測試街8號                                                                                                   02-0007-0021   X192454502D20191212202404164
B0830000000008I20063369319780909範例丙      2桃園市和平區和平路9號                                                                                                   02-0008-0024   Y292533690A20200113202405171
A0940000000009J10071288019791010範例丁      1台中市幸福區幸福街10號                                                                                                  02-0009-0027   Z192612883B20180214         
B1050000000010K90079207219801111虛構戊      2台南市文化區文化路11號                                                                                                  02-0010-0030   A292692079C20190315202407193
A1160000000011L10087126919811212虛構己      1高雄市中央區中央街12號                                                                                                  02-0011-0033   B192771261D20200416202408204
B1210000000012M20095045519820113測試甲      2台北市測試區範例路13號                                                                                                  02-0012-0036   C292850457A20180517         
A1320000000013N10102964519830214測試乙      1新北市範例區測試街14號                                                                                                  02-0013-0039   D192929643B20190618202410222
B1430000000014O20110883219840315範例丙      2桃園市和平區和平路15號                                                                                                  02-0014-0042   E293008833C20200719202411233
A1540000000015P80118802819850416範例丁      1台中市幸福區幸福街16號                                                                                                  02-0015-0045   F193088027D20180820         
B1650000000016Q20126721019860517虛構戊      2台南市文化區文化路17號                                                                                                  02-0016-0048   G293167213A20190921202401251
A1760000000017R10134640219870618虛構己      1高雄市中央區中央街18號                                                                                                  02-0017-0051   H193246405B20201022202402262
B1810000000018S20142559019880719測試甲      2台北市測試區範例路19號                                                                                                  02-0018-0054   I293325597C20181123         
A1920000000019T10150478219890820測試乙      1新北市範例區測試街20號                                                                                                  02-0019-0057   J193404784D20191224202404284
B2030000000020U90158397719900921範例丙      2桃園市和平區和平路21號                                                                                                  02-0020-0060   K293483975A20200125202405011
A2140000000021V10166316219911022範例丁      1台中市幸福區幸福街22號                                                                                                  02-0021-0063   L193563163B20180226         
B2250000000022W20174235919921123虛構戊      2台南市文化區文化路23號                                                                                                  02-0022-0066   M293642359C20190327202407033
A2360000000023X10182154819931224虛構己      1高雄市中央區中央街24號                                                                                                  02-0023-0069   N193721541D20200428202408044
B2410000000024Y20190073419940125測試甲      2台北市測試區範例路25號                                                                                                  02-0024-0072   O293800738A20180501         
A2520000000025Z80197992019950226測試乙      1新北市範例區測試街26號                                                                                                  02-0025-0075   P193879927B20190602202410062
