A0120000000001B10007936519710202測試乙      1新北市範例區測試街2號                                                                                                                  R191979364B20190606202410102
B0230000000002C20015855119720303範例丙      2桃園市和平區和平路3號                                                                                                                  S292058554C20200707202411113
A0340000000003D10023774319730404範例丁      1台中市幸福區幸福街4號                                                                                                                  T192137746D20180808         
B0450000000004E20031693919740505虛構戊      2台南市文化區文化路5號                                                                                                                  U292216932A20190909202401131
A0560000000005F80039612719750606虛構己      1高雄市中央區中央街6號                                                                                                                  V192296126B20201010202402142
B0610000000006G20047531919760707測試甲      2台北市測試區範例路7號                                                                                                                  W292375313C20181111         
A0720000000007H10055450119770808測試乙      1新北市範例區測試街8號                                                                                                                  X192454502D20191212202404164
B0830000000008I20063369319780909範例丙      2桃園市和平區和平路9號                                                                                                                  Y292533690A20200113202405171
A0940000000009J10071288019791010範例丁      1台中市幸福區幸福街10號                                                                                                                 Z192612883B20180214         
B1050000000010K90079207219801111虛構戊      2台南市文化區文化路11號                                                                                                                 A292692079C20190315202407193
A1160000000011L10087126919811212虛構己      1高雄市中央區中央街12號                                                                                                                 B192771261D20200416202408204
B1210000000012M20095045519820113測試甲      2台北市測試區範例路13號                                                                                                                 C292850457A20180517         
A1320000000013N10102964519830214測試乙      1新北市範例區測試街14號                                                                                                                 D192929643B20190618202410222
B1430000000014O20110883219840315範例丙      2桃園市和平區和平路15號                                                                                                                 E293008833C20200719202411233
A1540000000015P80118802819850416範例丁      1台中市幸福區幸福街16號                                                                                                                 F193088027D20180820         
B1650000000016Q20126721019860517虛構戊      2台南市文化區文化路17號                                                                                                                 G293167213A20190921202401251
A1760000000017R10134640219870618虛構己      1高雄市中央區中央街18號                                                                                                                 H193246405B20201022202402262
B1810000000018S20142559019880719測試甲      2台北市測試區範例路19號                                                                                                                 I293325597C20181123         
A1920000000019T10150478219890820測試乙      1新北市範例區測試街20號                                                                                                                 J193404784D20191224202404284
B2030000000020U90158397719900921範例丙      2桃園市和平區和平路21號                                                                                                                 K293483975A20200125202405011
A2140000000021V10166316219911022範例丁      1台中市幸福區幸福街22號                                                                                                                 L193563163B20180226         
B2250000000022W20174235919921123虛構戊      2台南市文化區文化路23號                                                                                                                 M293642359C20190327202407033
A2360000000023X10182154819931224虛構己      1高雄市中央區中央街24號                                                                                                                 N193721541D20200428202408044
B2410000000024Y20190073419940125測試甲      2台北市測試區範例路25號                                                                                                                 O293800738A20180501         
A2520000000025Z80197992019950226測試乙      1新北市範例區測試街26號                                                                                                                 P193879927B20190602202410062
B2630000000026A20205911119960327範例丙      2桃園市和平區和平路27號                                                                                                                 Q293959110C20200703202411073
A2740000000027B10213830319970428範例丁      1台中市幸福區幸福街28號                                                                                                                 R194038306D20180804         
B2850000000028C20221749119980501虛構戊      2台南市文化區文化路29號                                                                                                                 S294117494A20190905202401091
A2960000000029D10229668819990602虛構己      1高雄市中央區中央街30號                                                                                                                 T194196681B20201006202402102
B3010000000030E90237587819700703測試甲      2台北市測試區範例路31號                                                                                                                 U294275877C20181107         
