A0120000000001MOCK0000  19710202測試乙      1新北市範例區測試街2號                                                                                                   02-0001-0003   R191979364B20190606202410102
B0230000000002MOCK0001  19720303範例丙      2桃園市和平區和平路3號                                                                                                   02-0002-0006   S292058554C20200707202411113
A0340000000003MOCK0002  19730404範例丁      1台中市幸福區幸福街4號                                                                                                   02-0003-0009   T192137746D20180808         
B0450000000004MOCK0003  19740505虛構戊      2台南市文化區文化路5號                                                                                                   02-0004-0012   U292216932A20190909202401131
A0560000000005MOCK0004  19750606虛構己      1高雄市中央區中央街6號                                                                                                   02-0005-0015   V192296126B20201010202402142
B0610000000006MOCK0005  19760707測試甲      2台北市測試區範例路7號                                                                                                   02-0006-0018   W292375313C20181111         
A0720000000007MOCK0006  19770808測試乙      1新北市範例區測試街8號                                                                                                   02-0007-0021   X192454502D20191212202404164
B0830000000008MOCK0007  19780909範例丙      2桃園市和平區和平路9號                                                                                                   02-0008-0024   Y292533690A20200113202405171
A0940000000009MOCK0008  19791010範例丁      1台中市幸福區幸福街10號                                                                                                  02-0009-0027   Z192612883B20180214         
B1050000000010MOCK0009  19801111虛構戊      2台南市文化區文化路11號                                                                                                  02-0010-0030   A292692079C20190315202407193
A1160000000011MOCK0010  19811212虛構己      1高雄市中央區中央街12號                                                                                                  02-0011-0033   B192771261D20200416202408204
B1210000000012MOCK0011  19820113測試甲      2台北市測試區範例路13號                                                                                                  02-0012-0036   C292850457A20180517         
A1320000000013MOCK0012  19830214測試乙      1新北市範例區測試街14號                                                                                                  02-0013-0039   D192929643B20190618202410222
B1430000000014MOCK0013  19840315範例丙      2桃園市和平區和平路15號                                                                                                  02-0014-0042   E293008833C20200719202411233
A1540000000015MOCK0014  19850416範例丁      1台中市幸福區幸福街16號                                                                                                  02-0015-0045   F193088027D20180820         
B1650000000016MOCK0015  19860517虛構戊      2台南市文化區文化路17號                                                                                                  02-0016-0048   G293167213A20190921202401251
A1760000000017MOCK0016  19870618虛構己      1高雄市中央區中央街18號                                                                                                  02-0017-0051   H193246405B20201022202402262
B1810000000018MOCK0017  19880719測試甲      2台北市測試區範例路19號                                                                                                  02-0018-0054   I293325597C20181123         
A1920000000019MOCK0018  19890820測試乙      1新北市範例區測試街20號                                                                                                  02-0019-0057   J193404784D20191224202404284
B2030000000020MOCK0019  19900921範例丙      2桃園市和平區和平路21號                                                                                                  02-0020-0060   K293483975A20200125202405011
A2140000000021MOCK0020  19911022範例丁      1台中市幸福區幸福街22號                                                                                                  02-0021-0063   L193563163B20180226         
B2250000000022MOCK0021  19921123虛構戊      2台南市文化區文化路23號                                                                                                  02-0022-0066   M293642359C20190327202407033
A2360000000023MOCK0022  19931224虛構己      1高雄市中央區中央街24號                                                                                                  02-0023-0069   N193721541D20200428202408044
B2410000000024MOCK0023  19940125測試甲      2台北市測試區範例路25號                                                                                                  02-0024-0072   O293800738A20180501         
A2520000000025MOCK0024  19950226測試乙      1新北市範例區測試街26號                                                                                                  02-0025-0075   P193879927B20190602202410062
B2630000000026MOCK0025  19960327範例丙      2桃園市和平區和平路27號                                                                                                  02-0026-0078   Q293959110C20200703202411073
A2740000000027MOCK0026  19970428範例丁      1台中市幸福區幸福街28號                                                                                                  02-0027-0081   R194038306D20180804         
B2850000000028MOCK0027  19980501虛構戊      2台南市文化區文化路29號                                                                                                  02-0028-0084   S294117494A20190905202401091
A2960000000029MOCK0028  19990602虛構己      1高雄市中央區中央街30號                                                                                                  02-0029-0087   T194196681B20201006202402102
B3010000000030MOCK0029  19700703測試甲      2台北市測試區範例路31號                                                                                                  02-0030-0090   U294275877C20181107         
A3120000000031MOCK0030  19710804測試乙      1新北市範例區測試街32號                                                                                                  02-0031-0093   V194355066D20191208202404124
B3230000000032MOCK0031  19720905範例丙      2桃園市和平區和平路33號                                                                                                  02-0032-0096   W294434253A20200109202405131
A3340000000033MOCK0032  19731006範例丁      1台中市幸福區幸福街34號                                                                                                  02-0033-0099   X194513442B20180210         
B3450000000034MOCK0033  19741107虛構戊      2台南市文化區文化路35號                                                                                                  02-0034-0102   Y294592633C20190311202407153
A3560000000035MOCK0034  19751208虛構己      1高雄市中央區中央街36號                                                                                                  02-0035-0105   Z194671826D20200412202408164
B3610000000036MOCK0035  19760109測試甲      2台北市測試區範例路37號                                                                                                  02-0036-0108   A294751017A20180513         
A3720000000037MOCK0036  19770210測試乙      1新北市範例區測試街38號                                                                                                  02-0037-0111   B194830209B20190614202410182
B3830000000038MOCK0037  19780311範例丙      2桃園市和平區和平路39號                                                                                                  02-0038-0114   C294909391C20200715202411193
A3940000000039MOCK0038  19790412範例丁      1台中市幸福區幸福街40號                                                                                                  02-0039-0117   D194988588D20180816         
B4050000000040MOCK0039  19800513虛構戊      2台南市文化區文化路41號                                                                                                  02-0040-0120   E295067778A20190917202401211
